source;target;weight
protinus;1;0.000438465069953
omnes;1;0.000435509210642
simul;1;0.00043301044763
messapi;1;0.000422402478125
caci;1;0.000420889219651
euryale;1;0.000409364661852
timor;1;0.000401324356575
bos;1;0.000386983519499
troius;1;0.000379197982969
phenei;1;0.000364858833046
pallanta;2;0.000599075129352
tot;2;0.000551338903049
turnus;2;0.00048527874907
rogus;2;0.000469127507961
troianus;2;0.000445311326451
supra;2;0.000422021434909
auctor;2;0.000400797432772
drance;2;0.000393098059358
quianam;2;0.000391557103666
ioui;2;0.000388113732121
nympha;2;0.000387599432221
onus;2;0.000378683350812
soror;2;0.000373753754922
teucrorum;2;0.000370120673335
neptune;2;0.000368156391213
fortasse;2;0.0003676425744
rutulorum;2;0.000363476711842
redimibat;2;0.000357901571641
creo;2;0.000353461681097
dryope;2;0.000351883305051
soror;3;0.00048519655174
arruns;3;0.000414123402939
palinure;3;0.000410920209389
currus;3;0.000369102143134
stygia;3;0.000361476739123
turnus;3;0.00033765185287
iterum;3;0.000335288534117
discordia;3;0.000313830770174
murmur;3;0.000305688225174
ferreus;3;0.000304460867336
hinc;3;0.000298217215345
prospicio;3;0.000295184563951
aqua;3;0.000294781879267
camilla;3;0.000289682017904
alii;3;0.000289347448467
dedecus;3;0.000288096829012
imbrasus;3;0.000286330977185
alsum;3;0.00028224808061
eumenidum;3;0.000280673136618
palinuri;3;0.000280187718674
panthus;4;0.000573373483759
androgeos;4;0.000550437277702
passim;4;0.000492579098465
nautes;4;0.000473980697244
argiuum;4;0.000433721379235
rhipeus;4;0.000432714763399
ubique;4;0.000431531476702
coroebus;4;0.00041167359446
anchisae;4;0.000398218677566
danai;4;0.000358767278076
danaum;4;0.000347020191825
segnities;4;0.000317002109058
aspris;4;0.000312415926541
arx;4;0.000309890915457
incendo;4;0.000309708121854
achiuom;4;0.000309017598271
othryades;4;0.000307873488154
salus;4;0.000306606150937
amens;4;0.00030470700525
mygdonides;4;0.000302829764779
fiducia;5;0.000670640934669
arruns;5;0.00057929837751
pallanta;5;0.000557603625408
troiae;5;0.000556313778297
camilla;5;0.000549606587007
olympum;5;0.000510256687812
tot;5;0.000498805738756
quisque;5;0.00044062896014
custodia;5;0.000439783310418
donec;5;0.0004358226536
danais;5;0.000431637874131
turni;5;0.000413900187218
turnus;5;0.000412815329571
turno;5;0.000403243880201
quattuor;5;0.00040046990916
hasta;5;0.00039125939182
pars;5;0.00037874153919
procul;5;0.000369537450259
danaos;5;0.000368407578387
ignis;5;0.000360886843318
calchas;6;0.000851716632056
ithacus;6;0.000768777924838
ulixes;6;0.000704641632682
danai;6;0.000654265452269
mezentius;6;0.000649018354135
danaum;6;0.000634260558364
hostia;6;0.000603548750979
troia;6;0.000562365505402
palladis;6;0.000546776030978
semper;6;0.000526199332064
argolicis;6;0.000515612335216
tarchon;6;0.00051118458172
argos;6;0.000506962156525
argis;6;0.000503898283541
arruns;6;0.00049750271134
latagum;6;0.0004896296208
mimanta;6;0.0004896296208
hinc;6;0.000483705853029
eurypylum;6;0.000470894122839
calchanta;6;0.000467744164577
mnestheus;7;0.000766223053383
entellus;7;0.000738807963051
dareta;7;0.000738807963051
arruns;7;0.000629493078318
camilla;7;0.000557336452516
crethea;7;0.000557282411921
andromachen;7;0.000534987137157
acestes;7;0.000526202182947
pandarus;7;0.000511559006851
eurytion;7;0.000510213834543
hyrtacidae;7;0.000510213834543
heleno;7;0.00049128535244
caestus;7;0.000468758364944
utroque;7;0.000459231487926
helenus;7;0.000436227615063
arcus;7;0.000426515305578
hasta;7;0.000423956886415
retro;7;0.000374965311285
telum;7;0.000370054679054
simul;7;0.000360527586131
sergestus;8;0.000532460806519
hinc;8;0.00052808871565
sergestum;8;0.000522925215298
soror;8;0.000489884700507
antoren;8;0.000475633125966
relinquat;8;0.000429920834946
cloanthus;8;0.000424172747997
ida;8;0.000383225486021
praeterea;8;0.000350448379551
illinc;8;0.000336181454651
thebas;8;0.000336181454651
aulide;8;0.000336181454651
hesperidum;8;0.000336181454651
agamemnonius;8;0.000336181454651
alpini;8;0.000336181454651
massylae;8;0.000336181454651
pentheus;8;0.000336181454651
undique;8;0.000328750881354
iterum;8;0.000322753202205
supplex;8;0.000322753202205
phryges;9;0.000820648635641
priami;9;0.000747903863522
creüsa;9;0.000731625687286
lacaenae;9;0.000675393201919
pyrrhus;9;0.000643644741894
neoptolemum;9;0.000564025093656
troiam;9;0.000542258489433
tyndaridis;9;0.000520966717821
quonam;9;0.000511386575428
graiae;9;0.000484008962127
nequiquam;9;0.000479377321495
forsitan;9;0.000478365649372
polites;9;0.000476658334906
grates;9;0.000476572664588
auolsumque;9;0.000471921730821
hecuba;9;0.000465324759193
ascanius;9;0.000463503566594
memento;9;0.00044609686594
danai;9;0.000444985397942
dextraque;9;0.000441966112321
euryalum;10;0.00080330004918
entellus;10;0.000732226318986
dareta;10;0.000732226318986
propter;10;0.000572243103862
acestes;10;0.000521456820455
antoren;10;0.00050666674378
eurytion;10;0.000505606563826
hyrtacidae;10;0.000505606563826
mezentius;10;0.000496119405712
quotiens;10;0.000491657297361
caestus;10;0.00046450914618
mnestheus;10;0.000459810693986
dulcis;10;0.000450197822911
stygia;10;0.000447255450197
caedicus;10;0.000444672958951
karthaginis;10;0.000444517622467
uolcens;10;0.000427833551342
