source;target;weight
q-dardaniique;3;0.0591940235779
q-annam;3;0.0591940235779
q-lympha;3;0.0587026791063
q-rutuli;3;-0.058156543318
q-turnus;3;-0.0579097170484
q-karthago;3;0.0574562603999
q-sidonios;3;0.0574562603999
q-tyros;3;0.0574562603999
q-exuuiae;3;0.0570259500941
q-ter;3;0.0567928438667
q-uolcentem;3;-0.0560822341456
q-euryalum;4;0.193877094448
q-uolcentem;4;0.112863445934
q-euryali;4;0.107315803069
q-uolcens;4;0.0995701476118
q-messapi;4;0.0992109005619
q-euryalus;4;0.0958037191863
q-euryale;4;0.0954572268698
q-pallanta;4;-0.0946550396606
q-ibi;4;0.0919124890059
q-uolcente;4;0.0913783800745
q-nisus;4;0.090941029182
q-latonia;4;0.0728026843585
q-hyrtacus;4;0.0728026843585
q-fraus;4;0.0721636851359
q-amicum;4;0.0718389695914
q-temere;4;0.0714277377484
q-setius;4;0.0678619763979
q-atrox;4;0.0678619763979
q-sulmonis;4;0.0678619763979
q-tago;4;0.0678619763979
q-pallanta;5;0.168550005328
q-euandrum;5;0.124006091758
q-pyrrhus;5;-0.111298553623
q-priami;5;-0.109961675573
q-latini;5;0.0947548644112
q-palla;5;0.0909878372218
q-danai;5;-0.0800334093628
q-neoptolemum;5;-0.0739260345502
q-troum;5;0.0701184795933
q-teucros;5;0.0681558804902
q-pallante;5;0.0672438156441
q-creüsa;5;-0.0668499396
q-ter;5;0.0666189091481
q-primitiae;5;0.0661584674476
q-pompa;5;0.0660666426003
q-phrygum;5;0.0640675951847
q-pyras;5;0.0640130365001
q-saetigerosque;5;0.0616432044413
q-felicia;5;0.0616432044413
q-latium;5;0.0601807477333
q-pyrrhus;6;-0.115226810421
q-priami;6;-0.0993310575192
q-neoptolemum;6;-0.0808492128663
q-somnus;6;0.0783961453349
q-iterum;6;0.0759656126455
q-danai;6;-0.0718479038006
q-creüsa;6;-0.0681934797153
q-somnos;6;0.066007540592
q-frondeo;6;0.0613113911406
q-erebumque;6;0.0587541154226
q-mola;6;0.0587541154226
q-laomedonteae;6;0.0574222352974
q-hinc;6;0.0570056005798
q-reuolsus;6;0.0558943324376
q-nomadumque;6;0.0558588176161
q-pyra;6;0.0554482119648
q-aethiopum;6;0.0550206974719
q-tyriis;6;0.0549885152658
q-hecaten;6;0.0542199774021
q-praeterea;6;0.0538680280586
q-turnus;7;-0.12913669359
q-pyrrhus;7;0.105435628999
q-priami;7;0.0872669219519
q-lucagus;7;-0.085977295401
q-neoptolemum;7;0.0789593503296
q-currus;7;-0.071818998753
q-turnum;7;-0.0698216691849
q-frater;7;-0.067761585676
